GEOGRAPHY_LEVEL,DATA_Level,UUID,FY_ENDING,CASSR,GEOGRAPHY_CODE,DH_GEOGRAPHY_NAME,REGION_GO_CODE,GEOGRAPHY_NAME,DimensionGroup,CareType,FinanceType,FinanceDescription,AgeBand,PrimarySupportReason,SupportSetting,Purpose,CarerSupportType,DataType,ActivityProvision,ComparativeTotals,DataSource,ValueType,ITEMVALUE
Local Authority,Gross Current Expenditure,8110115,2022,914,E06000027,Torbay,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,134
Region,Gross Current Expenditure,8110115,2022,,,,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,8519
Region,Gross Current Expenditure,8110115,2022,,,,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,19784
Local Authority,Gross Current Expenditure,8110115,2022,211,E08000034,Kirklees,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1305
Local Authority,Gross Current Expenditure,8110115,2022,212,E08000035,Leeds,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2590
Local Authority,Gross Current Expenditure,8110115,2022,213,E08000036,Wakefield,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,156
Local Authority,Gross Current Expenditure,8110115,2022,305,E08000002,Bury,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,483
Local Authority,Gross Current Expenditure,8110115,2022,309,E08000006,Salford,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,889
Local Authority,Gross Current Expenditure,8110115,2022,321,E06000006,Halton,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,138
Local Authority,Gross Current Expenditure,8110115,2022,322,E06000007,Warrington,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,620
Local Authority,Gross Current Expenditure,8110115,2022,409,E08000028,Sandwell,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1979
Local Authority,Gross Current Expenditure,8110115,2022,414,E06000021,Stoke-on-Trent,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,380
Local Authority,Gross Current Expenditure,8110115,2022,503,E10000019,Lincolnshire,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1469
